Country Name,Country Code,Series Name,Series Code,2015
Albania,ALB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,413.157
Albania,ALB,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,417.7500295
Albania,ALB,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,408.5454587
Albania,ALB,PISA: Mean performance on the reading scale,LO.PISA.REA,405.2588
Albania,ALB,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,434.6396255
Albania,ALB,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,375.7591992
Albania,ALB,PISA: Mean performance on the science scale,LO.PISA.SCI,427.225
Albania,ALB,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,439.4429629
Albania,ALB,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,414.9576437
Algeria,DZA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,359.6062
Algeria,DZA,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,363.0724791
Algeria,DZA,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,356.4951057
Algeria,DZA,PISA: Mean performance on the reading scale,LO.PISA.REA,349.8593
Algeria,DZA,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,366.2081668
Algeria,DZA,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,335.1854359
Algeria,DZA,PISA: Mean performance on the science scale,LO.PISA.SCI,375.7451
Algeria,DZA,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,383.2209389
Algeria,DZA,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,369.0352338
Argentina,ARG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,409.0333
Argentina,ARG,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,400.4431161
Argentina,ARG,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,418.3883609
Argentina,ARG,PISA: Mean performance on the reading scale,LO.PISA.REA,425.3031
Argentina,ARG,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,432.9580796
Argentina,ARG,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,416.9666072
Argentina,ARG,PISA: Mean performance on the science scale,LO.PISA.SCI,432.2262
Argentina,ARG,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,424.9943513
Argentina,ARG,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,440.1020297
Armenia,ARM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Armenia,ARM,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Armenia,ARM,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Armenia,ARM,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Armenia,ARM,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Armenia,ARM,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Armenia,ARM,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Armenia,ARM,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Armenia,ARM,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Australia,AUS,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,493.8962
Australia,AUS,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,490.9855008
Australia,AUS,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,496.7613449
Australia,AUS,PISA: Mean performance on the reading scale,LO.PISA.REA,502.9006
Australia,AUS,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,518.8657992
Australia,AUS,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,487.1855255
Australia,AUS,PISA: Mean performance on the science scale,LO.PISA.SCI,509.9939
Australia,AUS,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,508.9216474
Australia,AUS,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,511.0492572
Austria,AUT,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,496.7423
Austria,AUT,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,483.1330261
Austria,AUT,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,510.0982159
Austria,AUT,PISA: Mean performance on the reading scale,LO.PISA.REA,484.8656
Austria,AUT,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,495.0751911
Austria,AUT,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,474.8460316
Austria,AUT,PISA: Mean performance on the science scale,LO.PISA.SCI,495.0375
Austria,AUT,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,485.5267543
Austria,AUT,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,504.3711973
Azerbaijan,AZE,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Azerbaijan,AZE,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Azerbaijan,AZE,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Azerbaijan,AZE,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Azerbaijan,AZE,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Azerbaijan,AZE,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Azerbaijan,AZE,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Azerbaijan,AZE,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Azerbaijan,AZE,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Bahrain,BHR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Bahrain,BHR,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Bahrain,BHR,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Bahrain,BHR,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Bahrain,BHR,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Bahrain,BHR,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Bahrain,BHR,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Bahrain,BHR,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Bahrain,BHR,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Belgium,BEL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,506.9844
Belgium,BEL,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,499.7390224
Belgium,BEL,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,514.0025721
Belgium,BEL,PISA: Mean performance on the reading scale,LO.PISA.REA,498.5242
Belgium,BEL,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,506.6385988
Belgium,BEL,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,490.6641558
Belgium,BEL,PISA: Mean performance on the science scale,LO.PISA.SCI,501.9997
Belgium,BEL,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,496.0318674
Belgium,BEL,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,507.7804771
Belize,BLZ,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Belize,BLZ,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Belize,BLZ,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Belize,BLZ,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Belize,BLZ,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Belize,BLZ,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Belize,BLZ,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Belize,BLZ,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Belize,BLZ,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Benin,BEN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Benin,BEN,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Benin,BEN,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Benin,BEN,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Benin,BEN,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Benin,BEN,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Benin,BEN,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Benin,BEN,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Benin,BEN,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Bolivia,BOL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
